"especie","bloco","substrato","altura"
"paineira","1","1",27.1428571428571
"paineira","2","1",30
"paineira","3","1",19
"paineira","4","1",16.1428571428571
"paineira","5","1",18.5
"paineira","6","1",18.1428571428571
"paineira","1","2",38
"paineira","2","2",29.75
"paineira","3","2",37.25
"paineira","4","2",28.25
"paineira","5","2",28.75
"paineira","6","2",31.625
"paineira","1","3",42.5
"paineira","2","3",39.2857142857143
"paineira","3","3",37.25
"paineira","4","3",23
"paineira","5","3",24.75
"paineira","6","3",21.125
"paineira","1","4",32.2857142857143
"paineira","2","4",30
"paineira","3","4",35.125
"paineira","4","4",21.5
"paineira","5","4",24.75
"paineira","6","4",42
"paineira","1","5",105.125
"paineira","2","5",85.5714285714286
"paineira","3","5",91.5
"paineira","4","5",66.875
"paineira","5","5",71.3333333333333
"paineira","6","5",66.7142857142857
"paineira","1","6",94.75
"paineira","2","6",62.875
"paineira","3","6",73.125
"paineira","4","6",55
"paineira","5","6",53
"paineira","6","6",50.125
"paineira","1","7",94.25
"paineira","2","7",54
"paineira","3","7",77.75
"paineira","4","7",63.875
"paineira","5","7",62.5
"paineira","6","7",68.125
"paineira","1","8",78.1666666666667
"paineira","2","8",75.7142857142857
"paineira","3","8",69.25
"paineira","4","8",65
"paineira","5","8",58.7142857142857
"paineira","6","8",50.75
"paineira","1","9",78.75
"paineira","2","9",85.25
"paineira","3","9",85.625
"paineira","4","9",66.5
"paineira","5","9",58.125
"paineira","6","9",70
"paineira","1","10",81.375
"paineira","2","10",78.125
"paineira","3","10",83.25
"paineira","4","10",59.75
"paineira","5","10",60.5
"paineira","6","10",63.75
"tamboril","1","1",16.625
"tamboril","2","1",21.875
"tamboril","3","1",23.5
"tamboril","4","1",17.2857142857143
"tamboril","5","1",23.4
"tamboril","6","1",17.625
"tamboril","1","2",32.8333333333333
"tamboril","2","2",42.5
"tamboril","3","2",51
"tamboril","4","2",25
"tamboril","5","2",39.875
"tamboril","6","2",27.125
"tamboril","1","3",41.8571428571429
"tamboril","2","3",56
"tamboril","3","3",24.1428571428571
"tamboril","4","3",15.4
"tamboril","5","3",32
"tamboril","6","3",38.1666666666667
"tamboril","1","4",33.4285714285714
"tamboril","2","4",37
"tamboril","3","4",31.1666666666667
"tamboril","4","4",15.5714285714286
"tamboril","5","4",31.1428571428571
"tamboril","6","4",46
"tamboril","1","5",41.375
"tamboril","2","5",85.4285714285714
"tamboril","3","5",65.8571428571429
"tamboril","4","5",60.75
"tamboril","5","5",65
"tamboril","6","5",52.3333333333333
"tamboril","1","6",45.5714285714286
"tamboril","2","6",72.6
"tamboril","3","6",59.8571428571429
"tamboril","4","6",34.5
"tamboril","5","6",50.5
"tamboril","6","6",42.2857142857143
"tamboril","1","7",39.6666666666667
"tamboril","2","7",45
"tamboril","3","7",37.125
"tamboril","4","7",36.8571428571429
"tamboril","5","7",52
"tamboril","6","7",59
"tamboril","1","8",60.2857142857143
"tamboril","2","8",69
"tamboril","3","8",63.4285714285714
"tamboril","4","8",40.2857142857143
"tamboril","5","8",45.8333333333333
"tamboril","6","8",52.6666666666667
"tamboril","1","9",38.1666666666667
"tamboril","2","9",71
"tamboril","3","9",80.6666666666667
"tamboril","4","9",58.5
"tamboril","5","9",48.2
"tamboril","6","9",46.8333333333333
"tamboril","1","10",46
"tamboril","2","10",43.2857142857143
"tamboril","3","10",47.6666666666667
"tamboril","4","10",32.5
"tamboril","5","10",68.625
"tamboril","6","10",44
